AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A630148,Cat,Domestic Longhair Mix,Tortie,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,1,4,Return to Owner
A707194,Dog,Bichon Frise,White,Intact Male,Owner Surrender,Normal,3650.0,Senior (>7a),purebred,Monocolor,Verano,7,4,Adoption
A690193,Dog,Plott Hound Mix,Black,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,10,0,Transfer
A688500,Cat,Domestic Medium Hair Mix,Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,9,89,Transfer
A699153,Dog,Pit Bull Mix,White/Brown Brindle,Intact Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,3,4,Transfer
A726854,Cat,Snowshoe Mix,Seal Point/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,5,30,Adoption
A749922,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,5,69,Adoption
A713082,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Otoño,10,5,At Risk
A776336,Cat,Domestic Shorthair Mix,Black/White,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,7,3,Transfer
A728719,Dog,Australian Cattle Dog Mix,Brown/Cream,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,6,2,Transfer
A666154,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Injured,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,10,60,Adoption
A705697,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Sick,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,6,Transfer
A820484,Cat,Domestic Shorthair,Blue/White,Neutered Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Verano,7,17,Adoption
A698487,Dog,Pit Bull Mix,Brown/White,Intact Female,Stray,Nursing,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,3,118,Adoption
A803382,Dog,German Shepherd/Australian Kelpie,Buff,Intact Male,Stray,Nursing,7.0,Cachorro (<6m),purebred,Monocolor,Verano,8,52,Adoption
A730727,Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,14.0,Cachorro (<6m),purebred,Monocolor,Verano,7,63,Adoption
A706202,Dog,Australian Cattle Dog Mix,Black/White,Intact Female,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Verano,6,4,Transfer
A711473,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,9,19,Adoption
A689797,Cat,Domestic Shorthair Mix,Blue/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,10,12,Adoption
A685222,Dog,Australian Cattle Dog Mix,Blue Tick/Tan,Intact Female,Owner Surrender,Normal,2920.0,Senior (>7a),mix,Bicolor,Verano,8,30,Adoption
A797765,Dog,Labrador Retriever Mix,White/Tan,Intact Female,Stray,Normal,180.0,Joven (6m-1a),mix,Bicolor,Verano,6,10,Transfer
A762912,Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,11,35,Adoption
A620264,Dog,Chihuahua Shorthair Mix,Red/White,Neutered Male,Public Assist,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Otoño,10,9,Return to Owner
A734811,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Otoño,9,0,Transfer
A734395,Dog,Pit Bull Mix,Buff/White,Intact Male,Public Assist,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,9,0,Return to Owner
A679059,Cat,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,5,1,Transfer
A804030,Cat,Domestic Shorthair,Brown Tabby,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Otoño,9,36,Adoption
A796052,Cat,Domestic Shorthair Mix,Black/White,Spayed Female,Owner Surrender,Sick,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,5,1,Return to Owner
A693317,Dog,Labrador Retriever Mix,White,Neutered Male,Stray,Normal,3650.0,Senior (>7a),mix,Monocolor,Invierno,12,0,Return to Owner
A750617,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,5,4,Transfer
A792361,Dog,Dachshund Longhair Mix,Black/Brown,Neutered Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Primavera,4,6,Transfer
A737044,Dog,Siberian Husky Mix,Sable/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,4,Transfer
A749291,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,5,20,Transfer
A793304,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,4,48,Adoption
A674393,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,3,7,Adoption
A669900,Dog,Greyhound Mix,Brown Brindle/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,8,6,Return to Owner
A768956,Dog,Weimaraner/Labrador Retriever,Blue/White,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Otoño,10,90,Adoption
A702136,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,5,48,Adoption
A713543,Cat,Domestic Medium Hair Mix,Black,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,10,0,Transfer
A594276,Dog,Plott Hound/Labrador Retriever,Brown Brindle,Neutered Male,Stray,Normal,2555.0,Senior (>7a),purebred,Monocolor,Primavera,4,4,Return to Owner
A766405,Dog,Labrador Retriever Mix,Tan/Black,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Invierno,2,4,Adoption
A740708,Dog,German Shepherd/Great Pyrenees,Tan/White,Intact Male,Stray,Normal,240.0,Joven (6m-1a),purebred,Bicolor,Invierno,12,4,Adoption
A730415,Dog,Pit Bull Mix,Brown Brindle/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,9,0,Return to Owner
A750777,Dog,Rat Terrier Mix,White/Black,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,3,Return to Owner
A683686,Dog,Pit Bull Mix,White/Brown,Intact Female,Public Assist,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,7,6,Return to Owner
A761716,Dog,Weimaraner Mix,Brown,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,9,2,Adoption
A724705,Dog,Cairn Terrier/Miniature Poodle,Cream,Intact Female,Stray,Normal,2190.0,Adulto (3-7a),purebred,Monocolor,Primavera,4,6,Adoption
A714057,Dog,Chihuahua Shorthair Mix,White/Tan,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,6,Adoption
A682146,Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,7,8,Adoption
A769376,Dog,Siberian Husky Mix,Gray/Black,Intact Female,Stray,Injured,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,4,9,Adoption
A774608,Dog,Australian Cattle Dog Mix,Black/Gray,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,5,Adoption
A677527,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Bicolor,Primavera,4,0,Transfer
A806030,Cat,Domestic Shorthair,Black,Neutered Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Otoño,10,71,Adoption
A812129,Dog,German Shepherd,Gray/Brown,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,1,3,Adoption
A812710,Dog,Australian Cattle Dog Mix,White/Tan,Intact Male,Owner Surrender,Normal,210.0,Joven (6m-1a),mix,Bicolor,Invierno,1,5,Adoption
A818694,Cat,Domestic Shorthair,Torbie,Intact Female,Owner Surrender,Normal,90.0,Cachorro (<6m),purebred,Monocolor,Verano,6,9,Adoption
A700261,Dog,Chihuahua Shorthair/Boston Terrier,Black/White,Intact Female,Owner Surrender,Normal,210.0,Joven (6m-1a),purebred,Bicolor,Primavera,4,2,Adoption
A730888,Dog,Black Mouth Cur Mix,Brown/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,7,12,Adoption
A763582,Cat,Domestic Shorthair Mix,Black/Black,Neutered Male,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Bicolor,Invierno,12,12,Adoption
A696048,Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,3285.0,Senior (>7a),mix,Bicolor,Verano,7,12,Adoption
A713942,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,14.0,Cachorro (<6m),mix,Bicolor,Otoño,10,1,Transfer
A739003,Dog,Labrador Retriever Mix,White/Black,Neutered Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Invierno,12,20,Adoption
A668679,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Stray,Sick,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,12,11,Transfer
A688621,Cat,Domestic Shorthair Mix,Blue,Neutered Male,Owner Surrender,Sick,1460.0,Adulto (3-7a),mix,Monocolor,Verano,8,7,Return to Owner
A682109,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Verano,6,0,At Risk
A800242,Cat,Domestic Shorthair,Torbie,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,7,4,Adoption
A717805,Dog,Mastiff Mix,Fawn,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Invierno,12,0,Return to Owner
A785809,Dog,Basset Hound Mix,Red/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,12,5,Adoption
A719889,Dog,Jack Russell Terrier/Chihuahua Shorthair,Chocolate/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Invierno,1,4,Adoption
A734343,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,9,0,Transfer
A819603,Cat,Domestic Shorthair,White/Black,Intact Male,Stray,Injured,30.0,Cachorro (<6m),purebred,Bicolor,Verano,7,168,Adoption
A738324,Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,6,4,Adoption
A795453,Dog,Smooth Fox Terrier Mix,Black/Tricolor,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,5,8,Adoption
A742326,Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,4,38,Adoption
A672173,Cat,Domestic Shorthair Mix,Blue Tabby,Spayed Female,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Invierno,2,35,Transfer
A673381,Cat,Domestic Longhair,Calico,Spayed Female,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Monocolor,Invierno,2,39,Transfer
A775776,Dog,Chihuahua Shorthair Mix,Brown,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,7,13,Adoption
A743422,Dog,German Shepherd Mix,Yellow,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,3,9,Transfer
A678984,Dog,Pit Bull Mix,Chocolate/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,5,271,Adoption
A750376,Dog,Labrador Retriever Mix,Chocolate,Spayed Female,Stray,Normal,180.0,Joven (6m-1a),mix,Monocolor,Primavera,5,3,Return to Owner
A680955,Dog,Labrador Retriever Mix,Buff,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,6,23,Transfer
A737248,Dog,Labrador Retriever Mix,Black,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Otoño,10,5,Adoption
A673274,Dog,German Shepherd Mix,Sable,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Monocolor,Invierno,2,4,Adoption
A698676,Dog,Yorkshire Terrier Mix,Tan/Silver,Intact Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,3,8,Transfer
A742682,Dog,Toy Poodle Mix,White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,1,5,Transfer
A779186,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Monocolor,Otoño,9,6,Adoption
A685979,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,Stray,Normal,3650.0,Senior (>7a),mix,Monocolor,Verano,8,6,Transfer
A701137,Cat,Domestic Longhair Mix,Brown Tabby,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,4,4,Transfer
A761239,Dog,German Shepherd Mix,Black/Brown,Intact Female,Public Assist,Normal,90.0,Cachorro (<6m),mix,Bicolor,Invierno,12,8,Return to Owner
A489376,Dog,Boxer Mix,Brown Brindle/White,Neutered Male,Stray,Injured,4015.0,Senior (>7a),mix,Bicolor,Primavera,5,4,At Risk
A674816,Dog,Pit Bull/Boxer,Brown Brindle,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Verano,7,133,Adoption
A694114,Dog,Chihuahua Shorthair Mix,Yellow/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Invierno,12,4,Adoption
A770909,Dog,German Shepherd Mix,Brown/Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,4,19,Adoption
A640185,Dog,Pit Bull Mix,Blue/White,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,5,30,Adoption
A718589,Dog,Chihuahua Shorthair Mix,White/Brown,Spayed Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Invierno,1,3,Adoption
A824974,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,10,30,Adoption
A771323,Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,5,0,Transfer
A674006,Cat,Manx Mix,Brown Tabby,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,3,17,Adoption
A679637,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,5,0,Transfer
A803677,Dog,Collie Smooth Mix,Tricolor,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,9,12,Transfer
A751268,Dog,Rottweiler Mix,Black,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,6,14,Return to Owner
A612593,Dog,Cairn Terrier Mix,Brown/Brown Brindle,Spayed Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Otoño,10,4,Adoption
A694294,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,Stray,Normal,240.0,Joven (6m-1a),mix,Bicolor,Invierno,12,0,Transfer
A773321,Dog,German Shepherd Mix,Black,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,5,4,Adoption
A787834,Dog,Boston Terrier Mix,Tan/White,Neutered Male,Stray,Injured,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,1,5,Adoption
A723424,Cat,Domestic Shorthair Mix,Black,Spayed Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,3,5,Transfer
A781937,Cat,Domestic Shorthair Mix,Orange Tabby,Neutered Male,Owner Surrender,Normal,2920.0,Senior (>7a),mix,Monocolor,Otoño,10,43,Adoption
A754501,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Verano,7,43,Adoption
A764971,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Monocolor,Invierno,1,4,Transfer
A692059,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,11,0,At Risk
A715837,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Nursing,21.0,Cachorro (<6m),mix,Monocolor,Otoño,11,0,Transfer
A692813,Dog,Golden Retriever Mix,Tan,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,11,0,Return to Owner
A759913,Dog,St. Bernard Rough Coat Mix,White/Black,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,0,Transfer
A711330,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Otoño,9,107,Adoption
A826983,Dog,Beagle,Tricolor,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Invierno,12,3,Return to Owner
A762822,Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,11,5,Adoption
A783844,Dog,Pit Bull Mix,Brown/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,12,0,Adoption
A768797,Dog,Pit Bull Mix,White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,3,40,Adoption
A693266,Dog,German Shepherd Mix,Brown/Black,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,1,0,Return to Owner
A714162,Dog,Chihuahua Shorthair Mix,Sable/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,10,37,Adoption
A731014,Dog,Shih Tzu/Toy Poodle,White/Gray,Spayed Female,Stray,Normal,1460.0,Adulto (3-7a),purebred,Bicolor,Verano,7,3,Transfer
A739058,Dog,Border Collie Mix,Tan/White,Intact Female,Stray,Normal,210.0,Joven (6m-1a),mix,Bicolor,Otoño,11,1,Return to Owner
A682111,Dog,Border Collie Mix,Cream/White,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Bicolor,Invierno,12,6,Adoption
A690833,Cat,Domestic Shorthair Mix,White/Orange Tabby,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Otoño,10,1,At Risk
A714830,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Female,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,10,15,Transfer
A757691,Dog,Cardigan Welsh Corgi Mix,Brown/White,Intact Male,Public Assist,Normal,330.0,Joven (6m-1a),mix,Bicolor,Otoño,9,30,Transfer
A805342,Cat,Domestic Shorthair,Blue/White,Intact Female,Stray,Injured,30.0,Cachorro (<6m),purebred,Bicolor,Otoño,9,0,Transfer
A702550,Dog,Chihuahua Shorthair Mix,Tan,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,5,9,Adoption
A759565,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,10,40,Adoption
A777605,Dog,Pit Bull Mix,White,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,7,6,Adoption
A676731,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,2.0,Cachorro (<6m),mix,Monocolor,Primavera,4,94,Adoption
A821320,Cat,Domestic Shorthair,White/Blue,Intact Male,Stray,Nursing,2.0,Cachorro (<6m),purebred,Bicolor,Verano,8,180,Adoption
A728702,Dog,Black Mouth Cur Mix,Tan/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Verano,6,4,Adoption
A735530,Cat,Domestic Shorthair Mix,Blue,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,9,4,Transfer
A787621,Dog,Rat Terrier/Beagle,Brown/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,1,6,Adoption
A703285,Dog,Collie Smooth Mix,Sable/White,Intact Female,Stray,Sick,60.0,Cachorro (<6m),mix,Bicolor,Primavera,5,0,Transfer
A688036,Cat,Domestic Shorthair Mix,Blue Tabby,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,9,0,Transfer
A701540,Cat,Domestic Medium Hair Mix,Black/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,5,24,Adoption
A802684,Dog,Labrador Retriever,Tan/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Verano,8,4,Adoption
A783404,Dog,Chihuahua Shorthair/Dachshund,Black/White,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Otoño,10,14,Transfer
A760480,Dog,Chihuahua Shorthair Mix,Brown,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,10,4,Adoption
A824934,Cat,Domestic Medium Hair,Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Otoño,10,5,Adoption
A716525,Cat,Domestic Shorthair Mix,Black,Intact Female,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Otoño,11,29,Transfer
A730654,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,2555.0,Senior (>7a),mix,Monocolor,Verano,7,23,Adoption
A747558,Dog,Black/Tan Hound,Black/Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,4,4,Adoption
A776631,Dog,Neapolitan Mastiff Mix,Blue/White,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,3,8,Adoption
A669241,Dog,Chihuahua Shorthair Mix,White/Chocolate,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,12,0,Return to Owner
A723834,Dog,German Shepherd Mix,White/Black,Intact Male,Public Assist,Normal,180.0,Joven (6m-1a),mix,Bicolor,Primavera,4,6,Return to Owner
A697765,Dog,Chinese Sharpei Mix,Brown,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,2,17,Adoption
A693761,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,12,4,Adoption
A719359,Dog,Chihuahua Shorthair Mix,Tan,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,1,6,Transfer
A790759,Dog,Labrador Retriever Mix,Tan,Spayed Female,Public Assist,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Primavera,3,0,Return to Owner
A685008,Dog,Rat Terrier/Chihuahua Shorthair,Black/Tan,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Verano,7,6,Adoption
A793142,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,5.0,Cachorro (<6m),mix,Bicolor,Primavera,4,63,Adoption
A740049,Dog,Australian Shepherd Mix,Brown,Spayed Female,Stray,Injured,2555.0,Senior (>7a),mix,Monocolor,Invierno,12,0,Return to Owner
A679787,Cat,Domestic Longhair Mix,Torbie,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,5,35,Adoption
A754580,Dog,Labrador Retriever,Yellow,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Verano,7,7,Return to Owner
A668100,Dog,Border Collie Mix,Black/White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,11,0,Return to Owner
A662136,Dog,American Bulldog Mix,Brown/White,Spayed Female,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,5,151,Adoption
A712791,Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,3,2,Return to Owner
A664571,Cat,Domestic Shorthair Mix,Torbie,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,10,5,Adoption
A780006,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,9,125,Adoption
A716821,Dog,Chihuahua Shorthair Mix,Buff,Intact Male,Stray,Injured,2555.0,Senior (>7a),mix,Monocolor,Otoño,11,1,Return to Owner
A729041,Dog,Chihuahua Shorthair Mix,White/Brown,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,23,Transfer
A665358,Dog,Redbone Hound/Labrador Retriever,Brown/White,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,10,4,Adoption
A683210,Cat,Domestic Shorthair Mix,Tortie/White,Spayed Female,Public Assist,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Verano,7,9,Transfer
A682161,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Verano,6,53,Transfer
A700780,Dog,Chihuahua Shorthair Mix,Tan,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,4,2,Return to Owner
A743415,Dog,Beagle Mix,Black/Tan,Intact Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,2,2,Adoption
A794572,Cat,Domestic Shorthair,Brown Tabby,Intact Female,Stray,Nursing,28.0,Cachorro (<6m),purebred,Monocolor,Primavera,5,52,Adoption
A780457,Cat,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Otoño,9,4,Transfer
A765702,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Monocolor,Invierno,1,6,At Risk
A748338,Dog,Dachshund Mix,Black/Tan,Intact Female,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,5,6,Return to Owner
A791697,Dog,Labrador Retriever/German Shepherd,Brown/White,Intact Female,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Primavera,3,4,Adoption
