AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,IntakeMonth,DaysInShelter,OutcomeClass
A803816,Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,9,8,Adoption
A688610,Dog,Border Collie Mix,Black/White,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,5,6,Transfer
A770178,Dog,Australian Cattle Dog Mix,Red Tick,Intact Male,Public Assist,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,4,10,Return to Owner
A789944,Dog,Staffordshire Mix,Tan,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,3,12,Transfer
A701453,Dog,Harrier Mix,Brown Brindle/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,6,46,Adoption
A798965,Cat,Domestic Medium Hair,Orange Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Monocolor,Verano,7,9,Adoption
A795427,Dog,German Shepherd/Australian Shepherd,Chocolate/Tan,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,5,7,Transfer
A739672,Dog,Border Terrier Mix,Sable/White,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Invierno,12,3,Transfer
A804084,Dog,Dachshund/Chihuahua Shorthair,Tan,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Otoño,9,4,Adoption
A774950,Cat,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Verano,6,5,Transfer
A723767,Dog,Australian Cattle Dog Mix,Tricolor/Red Tick,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,4,21,At Risk
A759736,Dog,Australian Cattle Dog/Whippet,White/Tan,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,10,17,Adoption
A670690,Dog,Pit Bull,Blue/White,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,1,6,Adoption
A682827,Dog,Catahoula Mix,Blue Merle/Tan,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Verano,7,4,Adoption
A702199,Dog,German Shepherd/Labrador Retriever,Sable/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Primavera,5,4,Adoption
A774434,Dog,Collie Rough Mix,Brown/White,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,6,4,Adoption
A737338,Dog,Labrador Retriever Mix,Tan/White,Intact Male,Stray,Sick,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,9,Adoption
A782627,Cat,Domestic Shorthair Mix,White/Black,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,10,3,Transfer
A673888,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Monocolor,Primavera,3,0,Transfer
A759162,Dog,West Highland Mix,White,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,9,11,Adoption
A692472,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Injured,60.0,Cachorro (<6m),mix,Monocolor,Otoño,11,0,At Risk
A792583,Cat,Domestic Medium Hair Mix,Torbie,Intact Female,Stray,Normal,120.0,Cachorro (<6m),mix,Monocolor,Primavera,4,4,Adoption
A827258,Dog,German Shepherd,Brown/Black,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Invierno,12,4,Adoption
