AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A738755,Dog,Chihuahua Shorthair Mix,Tan,Intact Male,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Otoño,Transfer
A710068,Dog,Maltese/Yorkshire Terrier,White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Verano,Adoption
A765426,Dog,Pit Bull Mix,White/Gray,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner
A687566,Dog,American Staffordshire Terrier Mix,Black/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A769129,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Transfer
A770125,Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A670018,Dog,Great Pyrenees Mix,White/Brown,Intact Male,Stray,Injured,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption
A771258,Cat,Domestic Medium Hair Mix,Calico/White,Intact Female,Stray,Sick,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,At Risk
A801591,Dog,Siberian Husky,Tricolor,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A696528,Dog,Pit Bull Mix,White/Blue,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A736746,Dog,Pug Mix,Cream,Spayed Female,Owner Surrender,Normal,2555.0,Senior (>7a),mix,Monocolor,Otoño,Transfer
A712593,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Nursing,2.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A716499,Dog,German Shepherd Mix,Sable,Intact Male,Stray,Normal,7.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A748518,Dog,Boxer Mix,Brown/Tan,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
A824413,Dog,Pit Bull,White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Adoption
A704106,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A683469,Dog,Border Collie Mix,Brown Brindle/White,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Transfer
A670663,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A728917,Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,2190.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner
A807300,Dog,Pit Bull,White,Intact Female,Owner Surrender,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Otoño,Adoption
A554477,Dog,Golden Retriever/Labrador Retriever,Red,Neutered Male,Public Assist,Aged,4015.0,Senior (>7a),purebred,Monocolor,Otoño,Return to Owner
A683525,Cat,Domestic Medium Hair,Blue/White,Intact Male,Stray,Normal,35.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer
A735358,Dog,Labrador Retriever Mix,Black,Intact Male,Stray,Sick,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A774635,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A601498,Dog,Rat Terrier,Tricolor,Neutered Male,Stray,Normal,1825.0,Adulto (3-7a),purebred,Monocolor,Verano,Return to Owner
A801267,Dog,Standard Poodle/Labrador Retriever,White/Gray,Intact Female,Public Assist,Normal,1095.0,Adulto (3-7a),purebred,Bicolor,Verano,Return to Owner
A810530,Cat,Domestic Shorthair,Blue,Neutered Male,Stray,Injured,2190.0,Adulto (3-7a),purebred,Monocolor,Invierno,Adoption
A677729,Cat,Domestic Medium Hair Mix,Blue,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A806516,Dog,Pit Bull,Black/White,Intact Female,Stray,Normal,150.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer
A698790,Dog,Pit Bull Mix,Tan/White,Spayed Female,Stray,Injured,1460.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
A782368,Dog,German Shepherd Mix,Black/Tan,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A604602,Cat,Oriental Sh Mix,White/Brown Tabby,Neutered Male,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Verano,Return to Owner
A796576,Cat,Domestic Shorthair Mix,Black Tabby,Intact Male,Stray,Normal,7.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A707508,Dog,Australian Cattle Dog/Chow Chow,White/Tan,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Return to Owner
A683757,Dog,Pit Bull Mix,White/Tan,Spayed Female,Stray,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption
A680902,Dog,Jack Russell Terrier Mix,White/Tan,Neutered Male,Stray,Injured,3650.0,Senior (>7a),mix,Bicolor,Verano,Return to Owner
A792157,Dog,Labrador Retriever Mix,Black/White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Primavera,Adoption
A726771,Dog,Dachshund Mix,Brown,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A786944,Cat,Domestic Shorthair Mix,Black/White,Intact Female,Public Assist,Normal,3285.0,Senior (>7a),mix,Bicolor,Invierno,Return to Owner
A793949,Dog,Lhasa Apso Mix,Black,Intact Female,Stray,Injured,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Return to Owner
A751601,Cat,Birman Mix,Chocolate Point,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
