AnimalID,AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass
A785957,Dog,Miniature Poodle Mix,Brown/White,Neutered Male,Public Assist,Normal,2555.0,Senior (>7a),mix,Bicolor,Invierno,Return to Owner
A695676,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Public Assist,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Invierno,Return to Owner
A678745,Dog,Flat Coat Retriever Mix,Black/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A688782,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Otoño,Transfer
A815141,Cat,Domestic Shorthair,Torbie/White,Intact Female,Owner Surrender,Nursing,28.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption
A578153,Dog,Queensland Heeler/Labrador Retriever,Black/Tan,Spayed Female,Stray,Normal,2920.0,Senior (>7a),purebred,Bicolor,Otoño,Return to Owner
A753229,Dog,Pekingese,Black/White,Intact Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Verano,Transfer
A760443,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A768050,Dog,Shih Tzu/Miniature Poodle,Cream/Tan,Intact Female,Public Assist,Normal,4745.0,Senior (>7a),purebred,Bicolor,Primavera,Return to Owner
A720156,Dog,Doberman Pinsch,Black/Tan,Neutered Male,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption
A688174,Cat,Domestic Shorthair Mix,Calico,Intact Female,Euthanasia Request,Sick,3650.0,Senior (>7a),mix,Monocolor,Otoño,At Risk
A666359,Dog,Dachshund/Chihuahua Shorthair,Black,Intact Female,Stray,Normal,3285.0,Senior (>7a),purebred,Monocolor,Otoño,At Risk
A753143,Dog,Pit Bull Mix,Blue/White,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption
A756499,Cat,Maine Coon,Brown Tabby,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Verano,Return to Owner
A786930,Dog,Miniature Schnauzer Mix,Black,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A701210,Dog,Australian Kelpie Mix,Red,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A786143,Dog,Staffordshire/Boxer,Black/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A679321,Dog,German Shepherd Mix,Brown,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A705171,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A738491,Dog,Labrador Retriever Mix,Black/Brown Brindle,Spayed Female,Owner Surrender,Injured,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption
A674380,Dog,Rat Terrier/Beagle,White/Black,Intact Female,Stray,Nursing,730.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,Transfer
A760237,Dog,Labrador Retriever/Catahoula,Tan/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A700104,Dog,Belgian Malinois Mix,Blue/Yellow Brindle,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A765312,Cat,Domestic Shorthair Mix,Calico/White,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A755693,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Injured,90.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A797497,Dog,Dachshund Longhair Mix,Red,Intact Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption
A743442,Dog,Shih Tzu,White/Brown,Intact Male,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Invierno,Transfer
A802344,Cat,Domestic Shorthair,Calico,Intact Female,Owner Surrender,Normal,21.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A820338,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,Stray,Sick,60.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption
A738374,Dog,Great Pyrenees Mix,White/Brown,Intact Male,Stray,Normal,300.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A692878,Dog,Labrador Retriever Mix,White,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner
A782274,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,210.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A796542,Dog,German Shepherd,Red,Spayed Female,Stray,Normal,240.0,Joven (6m-1a),purebred,Monocolor,Verano,Return to Owner
A799434,Dog,Shih Tzu/Papillon,Red/White,Spayed Female,Stray,Normal,2555.0,Senior (>7a),purebred,Bicolor,Verano,Transfer
A674899,Dog,American Bulldog Mix,Blue Cream/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A733960,Dog,Chihuahua Shorthair Mix,Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption
A728702,Dog,Black Mouth Cur Mix,Tan/Black,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A812542,Dog,Labrador Retriever,Brown,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Transfer
A723269,Dog,Rat Terrier Mix,Blue Merle/White,Spayed Female,Owner Surrender,Normal,3650.0,Senior (>7a),mix,Bicolor,Primavera,Transfer
A685972,Dog,Chihuahua Shorthair/Dachshund Wirehair,Brown/White,Intact Male,Owner Surrender,Normal,90.0,Cachorro (<6m),purebred,Bicolor,Verano,Transfer
A806169,Cat,Domestic Longhair,Blue/White,Intact Female,Owner Surrender,Normal,28.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption
A712400,Dog,Pit Bull Mix,White/Black,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A797955,Cat,Domestic Medium Hair,Blue Tabby/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption
A685243,Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A698365,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Stray,Injured,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,At Risk
A718990,Dog,Chihuahua Shorthair Mix,Brown/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner
A777375,Dog,Chihuahua Shorthair/Miniature Pinscher,Brown/Tan,Intact Male,Public Assist,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Verano,Return to Owner
A779045,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A704529,Dog,Pit Bull Mix,White/Brown,Intact Male,Stray,Sick,28.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A766697,Dog,Pit Bull Mix,Fawn/White,Intact Male,Stray,Normal,240.0,Joven (6m-1a),mix,Bicolor,Invierno,Adoption
A721048,Dog,Catahoula Mix,Blue Merle/White,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption
A747319,Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Transfer
A696083,Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,Adoption
A764496,Dog,Siberian Husky,Black/Tan,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Return to Owner
A820639,Cat,Domestic Shorthair,Brown Tabby,Intact Male,Owner Surrender,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A819513,Dog,Labrador Retriever Mix,Black/White,Intact Male,Stray,Medical,60.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A737951,Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A769433,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A700423,Dog,Boxer,Brown Brindle/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Primavera,Adoption
A780218,Cat,Siamese Mix,Flame Point,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A763748,Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A718577,Dog,Labrador Retriever Mix,Black/White,Neutered Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Invierno,Return to Owner
A733298,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Transfer
A681256,Dog,Collie Smooth Mix,Tricolor,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A700961,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Nursing,4.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A705734,Dog,Labrador Retriever Mix,Brown Brindle,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Primavera,Adoption
A826045,Dog,Chihuahua Shorthair Mix,Black/White,Intact Male,Owner Surrender,Normal,21.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A593537,Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Monocolor,Verano,Return to Owner
A821863,Cat,Domestic Shorthair,Blue/White,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Verano,Adoption
A712959,Dog,Miniature Pinscher/Pomeranian,Red,Intact Female,Owner Surrender,Normal,1825.0,Adulto (3-7a),purebred,Monocolor,Otoño,Transfer
A724196,Dog,Chihuahua Shorthair Mix,Brown/Tan,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A701013,Dog,Pit Bull Mix,Tan/White,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer
A690326,Cat,Domestic Shorthair Mix,Tortie,Spayed Female,Owner Surrender,Normal,5475.0,Senior (>7a),mix,Monocolor,Otoño,Transfer
A810891,Dog,Pbgv Mix,Brown,Spayed Female,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Invierno,Adoption
A684207,Dog,Pit Bull Mix,Tan/White,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption
A742467,Dog,Yorkshire Terrier Mix,Tan/Tan,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A815382,Dog,Labrador Retriever Mix,Brown/Tricolor,Intact Male,Owner Surrender,Normal,150.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A721727,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Nursing,2.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A777122,Dog,Labrador Retriever,White/Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Transfer
A804984,Cat,Domestic Shorthair,Brown Tabby,Intact Male,Owner Surrender,Normal,90.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption
A825292,Cat,Domestic Shorthair,Black/White,Neutered Male,Stray,Injured,1460.0,Adulto (3-7a),purebred,Bicolor,Otoño,Adoption
A776252,Dog,Boston Terrier Mix,Brown Brindle/White,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Verano,Return to Owner
A673311,Dog,Labrador Retriever/Chow Chow,Black,Intact Female,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Invierno,Adoption
A707554,Dog,Catahoula Mix,Brown Merle/White,Intact Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption
A712744,Cat,Domestic Shorthair Mix,White/Brown Tabby,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A804062,Cat,Domestic Shorthair,Blue Tabby,Intact Male,Stray,Normal,28.0,Cachorro (<6m),purebred,Monocolor,Otoño,Adoption
A759357,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,14.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A713383,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A690639,Cat,Domestic Longhair Mix,Tortie,Spayed Female,Owner Surrender,Normal,60.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A650908,Dog,Boxer/Redbone Hound,Brown/Red,Spayed Female,Stray,Other,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Adoption
A704637,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A734446,Dog,Miniature Poodle Mix,Tan/White,Neutered Male,Owner Surrender,Normal,2555.0,Senior (>7a),mix,Bicolor,Otoño,Return to Owner
A747205,Cat,Domestic Shorthair,Black,Intact Male,Stray,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Primavera,Transfer
A664940,Dog,Pit Bull Mix,White,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,At Risk
A696248,Dog,Chihuahua Shorthair Mix,Red,Intact Female,Owner Surrender,Nursing,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A714320,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption
A648685,Dog,Pit Bull Mix,Brown Brindle/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner
A761969,Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Adoption
A767786,Dog,Labrador Retriever Mix,Black/White,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption
A774767,Dog,Wire Hair Fox Terrier Mix,Tan/Black,Intact Male,Stray,Injured,180.0,Joven (6m-1a),mix,Bicolor,Verano,Adoption
A760312,Dog,American Bulldog/Dalmatian,White/Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A701884,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Sick,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A676259,Dog,Chihuahua Longhair Mix,White/Brown,Neutered Male,Owner Surrender,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Primavera,Adoption
A723633,Cat,Domestic Shorthair Mix,Torbie,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A679470,Dog,Labrador Retriever/German Shepherd,Brown/Black,Intact Male,Stray,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Primavera,Transfer
A667755,Cat,Domestic Longhair Mix,Black/Black,Intact Male,Stray,Injured,30.0,Cachorro (<6m),mix,Bicolor,Otoño,At Risk
A752027,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Nursing,14.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A677766,Dog,Labrador Retriever Mix,Black/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A763006,Dog,German Shepherd Mix,Black/Brown,Spayed Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A780091,Dog,Labrador Retriever/Pit Bull,Red/White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Return to Owner
A675622,Dog,Catahoula,Tricolor,Intact Male,Stray,Normal,90.0,Cachorro (<6m),purebred,Monocolor,Primavera,Adoption
A804362,Dog,Border Collie/Basenji,Chocolate/White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Otoño,Transfer
A703187,Dog,Chihuahua Shorthair Mix,Tricolor,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption
A819765,Dog,Dachshund Mix,Brown,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption
A818975,Cat,Domestic Shorthair,Cream Tabby,Intact Male,Stray,Normal,28.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A675236,Dog,Chihuahua Shorthair/Basenji,Black/White,Intact Female,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption
A694244,Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Sick,1825.0,Adulto (3-7a),mix,Bicolor,Invierno,At Risk
A801603,Cat,Domestic Shorthair,Calico/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A792606,Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A716713,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Owner Surrender,Pregnant,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer
A785481,Dog,Black Mouth Cur,Brown,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Return to Owner
A736617,Dog,Jack Russell Terrier Mix,Gold/White,Intact Female,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Transfer
A813065,Dog,Great Pyrenees,White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Transfer
A679268,Dog,Pit Bull Mix,White/Brown,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A772180,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A717108,Dog,Australian Kelpie/Beagle,Black/Tan,Spayed Female,Stray,Normal,2555.0,Senior (>7a),purebred,Bicolor,Invierno,Adoption
A739385,Cat,British Shorthair,Blue,Spayed Female,Stray,Normal,4380.0,Senior (>7a),purebred,Monocolor,Otoño,Return to Owner
A739706,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A819189,Cat,Domestic Shorthair,Calico,Intact Female,Stray,Normal,1095.0,Adulto (3-7a),purebred,Monocolor,Verano,Adoption
A725966,Cat,Domestic Shorthair Mix,Tortie,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption
A716819,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,Stray,Feral,180.0,Joven (6m-1a),mix,Monocolor,Otoño,Transfer
A802436,Dog,Maltese,White,Neutered Male,Stray,Normal,4015.0,Senior (>7a),purebred,Monocolor,Verano,Return to Owner
A790440,Dog,Boxer Mix,Black/White,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner
A714824,Dog,German Shepherd Mix,Black/White,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Adoption
A803127,Dog,Wire Hair Fox Terrier,Black/White,Neutered Male,Owner Surrender,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption
A806476,Dog,Beagle Mix,Brown,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Return to Owner
A826040,Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Sick,90.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption
A666439,Dog,Shih Tzu,White/Red,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Transfer
A654493,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Stray,Normal,4745.0,Senior (>7a),mix,Monocolor,Invierno,Adoption
A756123,Dog,Whippet Mix,White/Tan,Intact Male,Stray,Normal,150.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption
A771428,Cat,Domestic Shorthair Mix,Calico,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Monocolor,Primavera,Adoption
A778174,Dog,Yorkshire Terrier Mix,Brown/Silver,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Transfer
A750580,Cat,Domestic Shorthair Mix,White/Blue,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption
A782399,Dog,Labrador Retriever Mix,White,Spayed Female,Stray,Normal,4745.0,Senior (>7a),mix,Monocolor,Otoño,Adoption
A645251,Dog,Miniature Schnauzer Mix,White/Tan,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A728259,Dog,Miniature Pinscher Mix,Brown,Neutered Male,Owner Surrender,Normal,1460.0,Adulto (3-7a),mix,Monocolor,Verano,Transfer
A742314,Dog,Labrador Retriever/Beagle,Black,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Adoption
A768644,Dog,Pomeranian Mix,Brown,Intact Male,Stray,Normal,3650.0,Senior (>7a),mix,Monocolor,Primavera,Adoption
A773228,Dog,Anatol Shepherd Mix,Chocolate/White,Intact Male,Stray,Normal,2.0,Cachorro (<6m),mix,Bicolor,Primavera,Transfer
A804358,Dog,Pit Bull,Blue/White,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption
A811136,Dog,Pomeranian,Red,Intact Female,Public Assist,Normal,2190.0,Adulto (3-7a),purebred,Monocolor,Invierno,Return to Owner
A671184,Cat,Domestic Medium Hair Mix,Black,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A716235,Dog,Pit Bull Mix,White/Brown,Intact Male,Stray,Normal,270.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption
A701644,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Monocolor,Otoño,Transfer
A735975,Cat,Domestic Shorthair Mix,Blue/White,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Bicolor,Otoño,Transfer
A805492,Cat,Domestic Shorthair Mix,Cream Tabby/White,Neutered Male,Owner Surrender,Injured,90.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption
A799658,Dog,Pit Bull,Black/White,Intact Male,Stray,Normal,270.0,Joven (6m-1a),purebred,Bicolor,Verano,Transfer
A799653,Cat,Domestic Shorthair,Blue Tabby,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Verano,Adoption
A712137,Dog,Border Collie/Pointer,Tricolor,Intact Male,Stray,Normal,270.0,Joven (6m-1a),purebred,Monocolor,Otoño,Adoption
A798533,Dog,Chihuahua Shorthair/Dachshund,Brown Brindle/White,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption
A828558,Cat,Domestic Medium Hair,Brown Tabby,Intact Male,Stray,Normal,14.0,Cachorro (<6m),purebred,Monocolor,Invierno,Transfer
A702966,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer
A750888,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A764609,Dog,Jack Russell Terrier Mix,White,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer
A764897,Dog,Golden Retriever/Labrador Retriever,Brown/White,Intact Female,Stray,Nursing,35.0,Cachorro (<6m),purebred,Bicolor,Invierno,Adoption
A760910,Dog,Chihuahua Shorthair Mix,Tan,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Otoño,Adoption
A766371,Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Sick,365.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption
A779872,Cat,Domestic Shorthair Mix,White/Brown Tabby,Neutered Male,Owner Surrender,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Return to Owner
A680132,Dog,Border Collie/Labrador Retriever,Black/White,Intact Male,Stray,Normal,180.0,Joven (6m-1a),purebred,Bicolor,Primavera,Adoption
A807852,Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Normal,90.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer
A794814,Dog,Border Collie Mix,Black,Neutered Male,Stray,Normal,330.0,Joven (6m-1a),mix,Monocolor,Invierno,Adoption
A699007,Dog,St. Bernard Rough Coat Mix,Red/White,Neutered Male,Public Assist,Normal,2555.0,Senior (>7a),mix,Bicolor,Primavera,Return to Owner
A775091,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer
A728524,Cat,Domestic Medium Hair Mix,Brown,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Verano,Adoption
A767163,Dog,Chihuahua Shorthair Mix,Black/Brown,Intact Female,Stray,Normal,4.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption
A609952,Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Primavera,Return to Owner
A467387,Dog,Boxer Mix,Red/White,Spayed Female,Owner Surrender,Normal,3285.0,Senior (>7a),mix,Bicolor,Primavera,At Risk
A790689,Dog,Rhod Ridgeback/Great Dane,Black/White,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),purebred,Bicolor,Primavera,Adoption
A753030,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,150.0,Cachorro (<6m),mix,Monocolor,Verano,Adoption
A793449,Dog,Basset Hound Mix,White/Brown,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption
A685250,Cat,Siamese Mix,Lilac Point,Intact Female,Stray,Normal,14.0,Cachorro (<6m),mix,Monocolor,Verano,Transfer
A699647,Dog,Chihuahua Shorthair Mix,White/Black,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Transfer
A706967,Dog,Australian Cattle Dog Mix,Tricolor,Intact Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Monocolor,Verano,Adoption
