AnimalType,Sex,IntakeType,IntakeCondition,AgeInDays,AgeGroup,breed_type,Color_grouped,Season,OutcomeClass,AgeInDays_log
Dog,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Bicolor,Otoño,Adoption,4.795790545596741
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Verano,Adoption,6.594413459749778
Dog,Neutered Male,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Primavera,Return to Owner,6.594413459749778
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer,4.51085950651685
Dog,Intact Female,Owner Surrender,Normal,180.0,Joven (6m-1a),mix,Bicolor,Otoño,Adoption,5.198497031265826
Cat,Intact Male,Stray,Normal,120.0,Cachorro (<6m),purebred,Monocolor,Verano,Transfer,4.795790545596741
Dog,Intact Female,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Otoño,Adoption,6.594413459749778
Dog,Intact Male,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer,4.110873864173311
Cat,Spayed Female,Stray,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Return to Owner,6.594413459749778
Dog,Intact Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,5.902633333401366
Cat,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Transfer,5.902633333401366
Cat,Neutered Male,Abandoned,Normal,365.0,Adulto joven (1-3a),purebred,Monocolor,Otoño,Adoption,5.902633333401366
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Transfer,3.4339872044851463
Dog,Spayed Female,Owner Surrender,Normal,90.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.51085950651685
Dog,Intact Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Monocolor,Invierno,Transfer,7.692113339595466
Dog,Intact Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Adoption,5.902633333401366
Dog,Intact Male,Owner Surrender,Sick,2190.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption,7.692113339595466
Cat,Intact Male,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Verano,Adoption,3.4339872044851463
Dog,Intact Male,Owner Surrender,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Transfer,3.4339872044851463
Dog,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,3.4339872044851463
Dog,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Return to Owner,6.594413459749778
Dog,Neutered Male,Stray,Normal,2555.0,Senior (>7a),mix,Bicolor,Otoño,Adoption,7.846198815497425
Dog,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),mix,Bicolor,Primavera,Return to Owner,7.509883061154913
Dog,Intact Female,Stray,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Transfer,6.594413459749778
Cat,Spayed Female,Stray,Normal,2920.0,Senior (>7a),mix,Bicolor,Invierno,Adoption,7.979681302387741
Dog,Spayed Female,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.795790545596741
Dog,Intact Female,Stray,Nursing,1.0,Cachorro (<6m),mix,Monocolor,Otoño,Adoption,0.6931471805599453
Cat,Intact Male,Owner Surrender,Normal,60.0,Cachorro (<6m),purebred,Bicolor,Otoño,Transfer,4.110873864173311
Cat,Neutered Male,Owner Surrender,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Primavera,Adoption,6.594413459749778
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Otoño,Adoption,5.902633333401366
Dog,Intact Female,Stray,Normal,60.0,Cachorro (<6m),purebred,Monocolor,Otoño,Transfer,4.110873864173311
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Bicolor,Invierno,Adoption,3.4339872044851463
Dog,Neutered Male,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Otoño,Return to Owner,6.999422467507961
Dog,Spayed Female,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Primavera,Transfer,5.902633333401366
Dog,Intact Male,Stray,Normal,60.0,Cachorro (<6m),mix,Bicolor,Primavera,Adoption,4.110873864173311
Dog,Intact Male,Stray,Injured,730.0,Adulto joven (1-3a),mix,Monocolor,Otoño,At Risk,6.594413459749778
Dog,Intact Male,Public Assist,Normal,1460.0,Adulto (3-7a),purebred,Monocolor,Primavera,Return to Owner,7.2868764117507
Dog,Spayed Female,Stray,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Verano,Adoption,6.999422467507961
Dog,Intact Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,Adoption,5.902633333401366
Cat,Intact Male,Stray,Normal,21.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.091042453358316
Dog,Intact Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Monocolor,Invierno,Return to Owner,6.594413459749778
Dog,Spayed Female,Owner Surrender,Normal,2190.0,Adulto (3-7a),purebred,Bicolor,Otoño,Adoption,7.692113339595466
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Invierno,Return to Owner,5.902633333401366
Dog,Spayed Female,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Adoption,5.902633333401366
Dog,Intact Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Bicolor,Otoño,At Risk,5.902633333401366
Dog,Intact Female,Stray,Normal,90.0,Cachorro (<6m),mix,Bicolor,Otoño,Adoption,4.51085950651685
Dog,Intact Male,Stray,Normal,730.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Transfer,6.594413459749778
Dog,Neutered Male,Owner Surrender,Normal,3285.0,Senior (>7a),purebred,Monocolor,Invierno,At Risk,8.097426298597213
Cat,Intact Male,Stray,Normal,120.0,Cachorro (<6m),mix,Bicolor,Otoño,Transfer,4.795790545596741
Dog,Neutered Male,Public Assist,Normal,730.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Return to Owner,6.594413459749778
Dog,Intact Female,Public Assist,Normal,730.0,Adulto joven (1-3a),mix,Bicolor,Invierno,Adoption,6.594413459749778
Dog,Neutered Male,Stray,Normal,365.0,Adulto joven (1-3a),mix,Monocolor,Invierno,Return to Owner,5.902633333401366
Cat,Intact Female,Stray,Normal,30.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.4339872044851463
Cat,Intact Female,Stray,Normal,28.0,Cachorro (<6m),mix,Monocolor,Primavera,Adoption,3.367295829986474
Dog,Spayed Female,Owner Surrender,Normal,2920.0,Senior (>7a),purebred,Monocolor,Verano,Adoption,7.979681302387741
Dog,Neutered Male,Owner Surrender,Normal,365.0,Adulto joven (1-3a),purebred,Bicolor,Verano,Adoption,5.902633333401366
Dog,Neutered Male,Public Assist,Normal,1095.0,Adulto (3-7a),mix,Bicolor,Invierno,At Risk,6.999422467507961
Dog,Intact Female,Owner Surrender,Normal,2555.0,Senior (>7a),mix,Monocolor,Otoño,Adoption,7.846198815497425
Dog,Spayed Female,Stray,Normal,1825.0,Adulto (3-7a),purebred,Bicolor,Primavera,Adoption,7.509883061154913
